Zone,Hour,DayType,DayOfWeek,Weather,Temperature,Humidity,Demand
Sector 7,3,Weekday,0,Heavy Rain,40,43,4.7
Kohka,14,Weekday,0,Rain,33,85,33.7
Durg Station,21,Weekday,2,Cloudy,34,48,50.4
Sector 1,16,Weekday,2,Cloudy,34,48,52.9
Padmanabhpur,8,Weekday,4,Clear,27,52,52.4
Sector 5,7,Weekday,0,Heavy Rain,30,67,43.0
Junwani,12,Weekend,5,Rain,36,41,25.3
Bhilai 3,13,Weekday,3,Rain,37,83,42.3
Supela,14,Weekday,1,Cloudy,24,45,41.1
Sector 6,2,Weekday,4,Rain,30,76,5.4
Smriti Nagar,18,Weekday,3,Heavy Rain,30,71,84.5
Junwani,13,Weekday,1,Fog,35,50,29.1
Padmanabhpur,11,Weekday,4,Rain,30,76,49.8
Kohka,0,Weekend,6,Heavy Rain,38,39,8.6
Power House,10,Weekend,5,Rain,36,41,36.4
Nehru Nagar,9,Weekday,0,Heavy Rain,30,67,74.4
Padmanabhpur,20,Weekday,0,Heavy Rain,25,70,64.0
Sector 6,1,Weekend,5,Cloudy,32,83,4.4
Nehru Nagar,3,Weekday,2,Thunderstorm,22,70,6.1
Nehru Nagar,13,Weekday,1,Cloudy,23,49,45.8
Sector 8,6,Weekday,3,Fog,20,76,18.1
Padmanabhpur,14,Weekday,2,Rain,34,82,49.5
Junwani,12,Weekday,4,Fog,13,63,31.5
Sector 7,2,Weekday,3,Thunderstorm,35,66,9.3
Durg Station,9,Weekend,5,Cloudy,32,83,54.9
Sector 1,2,Weekend,6,Rain,21,31,7.8
Sector 8,5,Weekday,4,Rain,35,62,13.2
Smriti Nagar,20,Weekday,0,Heavy Rain,30,67,60.6
Padmanabhpur,11,Weekend,6,Rain,21,85,44.4
Supela,20,Weekend,6,Fog,15,68,48.1
Junwani,11,Weekday,1,Heavy Rain,31,75,56.0
Sector 2,22,Weekday,3,Rain,36,69,29.1
Sector 5,0,Weekend,5,Cloudy,34,42,5.6
Smriti Nagar,18,Weekday,4,Rain,31,82,82.9
Sector 1,16,Weekend,6,Thunderstorm,35,59,78.6
Sector 2,4,Weekend,5,Cloudy,35,52,2.9
Sector 7,7,Weekday,3,Thunderstorm,35,66,64.9
Smriti Nagar,3,Weekday,3,Thunderstorm,35,66,5.7
Nehru Nagar,14,Weekday,2,Thunderstorm,22,70,79.4
Sector 9,14,Weekday,1,Cloudy,24,45,27.8
Sector 6,0,Weekday,1,Fog,18,94,6.0
Sector 10,3,Weekday,3,Fog,14,37,1.7
Power House,19,Weekday,0,Heavy Rain,23,45,60.8
Sector 10,14,Weekday,2,Clear,21,66,29.6
Bhilai 3,10,Weekday,3,Rain,36,69,48.9
Sector 1,8,Weekend,6,Fog,19,52,43.0
Sector 3,3,Weekday,1,Cloudy,38,47,3.6
Supela,5,Weekday,4,Clear,31,48,14.8
Sector 8,14,Weekday,2,Clear,27,64,28.8
Sector 9,14,Weekend,5,Thunderstorm,15,76,34.0
Padmanabhpur,7,Weekend,5,Cloudy,32,36,37.3
Sector 3,11,Weekday,2,Clear,31,77,31.9
Sector 10,18,Weekday,4,Rain,31,82,63.5
Junwani,9,Weekend,6,Rain,21,85,44.8
Bhilai 3,8,Weekday,3,Fog,20,76,56.1
Sector 7,15,Weekend,6,Clear,23,87,35.2
Kohka,22,Weekday,3,Thunderstorm,35,66,27.4
Power House,22,Weekday,3,Thunderstorm,35,66,29.4
Sector 9,8,Weekend,5,Cloudy,34,42,40.7
Sector 10,6,Weekend,5,Clear,30,67,12.2
Power House,9,Weekday,1,Cloudy,32,44,43.3
Supela,4,Weekend,5,Cloudy,32,83,5.2
Sector 2,17,Weekend,5,Rain,34,42,82.6
Sector 5,21,Weekday,3,Rain,20,79,33.6
Durg Station,14,Weekday,4,Cloudy,22,79,43.8
Supela,18,Weekday,0,Rain,38,36,108.1
Sector 9,7,Weekday,2,Thunderstorm,22,70,53.7
Kohka,16,Weekday,4,Rain,30,76,48.0
Kohka,7,Weekday,1,Cloudy,24,45,33.5
Kohka,0,Weekend,5,Cloudy,34,42,5.0
Sector 1,9,Weekday,0,Fog,13,59,58.5
Sector 5,12,Weekday,4,Cloudy,31,48,35.7
Kohka,13,Weekend,6,Clear,32,36,28.9
Sector 3,15,Weekday,0,Clear,32,74,33.2
Sector 3,14,Weekday,1,Cloudy,24,45,30.8
Sector 2,2,Weekday,4,Rain,31,82,6.5
Bhilai 3,17,Weekday,3,Thunderstorm,35,66,87.5
Kohka,12,Weekday,3,Rain,36,69,43.3
Sector 9,8,Weekday,2,Rain,40,42,55.4
Sector 5,3,Weekend,6,Heavy Rain,38,39,3.5
Junwani,1,Weekend,5,Thunderstorm,37,81,7.3
Junwani,14,Weekday,0,Fog,23,45,25.0
Padmanabhpur,14,Weekday,0,Clear,42,59,39.0
Sector 2,22,Weekday,4,Thunderstorm,27,61,38.7
Kohka,3,Weekday,4,Clear,41,45,2.7
Bhilai 3,14,Weekday,3,Cloudy,31,64,36.9
Junwani,23,Weekday,4,Rain,34,60,19.9
Junwani,2,Weekday,2,Cloudy,36,95,4.1
Power House,9,Weekday,4,Thunderstorm,35,62,70.7
Sector 5,15,Weekday,3,Thunderstorm,37,70,44.9
Supela,11,Weekend,5,Fog,15,76,36.4
Civic Center,0,Weekday,0,Clear,42,59,10.1
Bhilai 3,22,Weekday,4,Thunderstorm,22,79,33.0
Sector 10,22,Weekday,3,Heavy Rain,30,71,21.9
Sector 9,4,Weekend,6,Clear,39,74,3.1
Kohka,22,Weekday,0,Rain,33,85,22.0
Sector 7,6,Weekday,3,Rain,31,46,32.6
Sector 2,4,Weekday,3,Heavy Rain,30,71,6.8
Sector 6,11,Weekday,3,Rain,20,79,42.7
Sector 9,0,Weekday,3,Cloudy,25,85,7.3
Sector 8,13,Weekday,2,Clear,36,47,26.8
Junwani,23,Weekend,5,Rain,36,41,15.4
Sector 3,12,Weekday,3,Rain,35,36,57.3
Padmanabhpur,12,Weekend,6,Thunderstorm,35,59,58.5
Kohka,14,Weekday,3,Cloudy,31,64,26.3
Sector 8,3,Weekday,3,Cloudy,25,85,3.0
Sector 8,22,Weekend,5,Clear,40,88,22.6
Sector 2,5,Weekend,5,Fog,15,76,6.2
Civic Center,13,Weekday,3,Cloudy,25,85,66.5
Sector 10,14,Weekday,0,Fog,23,45,22.2
Sector 9,10,Weekday,2,Fog,40,42,27.5
Sector 10,7,Weekend,6,Rain,21,31,29.7
Bhilai 3,17,Weekday,1,Clear,21,52,45.2
Durg Station,11,Weekday,1,Rain,34,91,58.3
Smriti Nagar,19,Weekday,3,Thunderstorm,37,70,76.9
Power House,6,Weekend,5,Cloudy,34,42,17.4
Civic Center,16,Weekday,4,Clear,41,45,55.0
Durg Station,7,Weekday,1,Thunderstorm,21,52,99.9
Padmanabhpur,10,Weekday,2,Clear,20,34,40.5
Sector 8,2,Weekend,6,Rain,39,74,4.8
Bhilai 3,6,Weekday,4,Clear,31,48,28.5
Civic Center,13,Weekday,2,Cloudy,36,95,46.7
Power House,9,Weekday,1,Heavy Rain,23,49,51.9
Sector 10,6,Weekday,2,Clear,27,64,20.9
Durg Station,19,Weekend,5,Thunderstorm,31,37,146.8
Kohka,11,Weekday,4,Clear,38,35,28.4
Power House,14,Weekday,3,Rain,35,36,38.2
Smriti Nagar,20,Weekday,4,Cloudy,38,35,45.7
Sector 7,7,Weekday,2,Clear,31,77,41.3
Sector 6,21,Weekday,0,Cloudy,33,85,31.6
Civic Center,17,Weekend,5,Clear,40,88,81.7
Sector 6,3,Weekday,3,Rain,31,46,4.2
Supela,0,Weekday,0,Heavy Rain,25,70,18.1
Sector 8,3,Weekday,1,Cloudy,38,47,2.7
Sector 6,2,Weekday,2,Rain,23,34,5.0
Padmanabhpur,7,Weekend,5,Cloudy,37,81,41.1
Bhilai 3,4,Weekday,3,Rain,37,83,5.3
Bhilai 3,16,Weekday,1,Fog,22,42,32.6
Kohka,14,Weekday,0,Clear,42,59,27.6
Sector 7,17,Weekend,5,Cloudy,32,36,83.2
Smriti Nagar,14,Weekday,0,Cloudy,41,37,32.4
Durg Station,8,Weekday,4,Thunderstorm,41,45,123.4
Sector 6,0,Weekday,1,Clear,34,91,8.9
Sector 9,1,Weekday,2,Thunderstorm,40,80,6.3
Sector 8,23,Weekday,3,Fog,14,37,11.0
Sector 6,14,Weekday,1,Thunderstorm,35,50,37.7
Civic Center,6,Weekday,4,Clear,31,48,29.1
Sector 8,17,Weekday,4,Clear,31,48,57.5
Civic Center,6,Weekday,2,Clear,31,77,32.4
Sector 4,10,Weekday,1,Cloudy,38,47,31.3
Sector 4,3,Weekday,0,Cloudy,31,66,3.3
Padmanabhpur,23,Weekday,4,Rain,35,62,19.9
Bhilai 3,14,Weekend,6,Clear,38,39,28.9
Sector 7,5,Weekend,5,Clear,30,67,10.6
Sector 9,20,Weekday,0,Cloudy,20,62,27.9
Bhilai 3,21,Weekday,4,Cloudy,25,51,38.3
Sector 3,10,Weekend,6,Clear,23,87,31.3
Civic Center,6,Weekday,1,Cloudy,35,50,32.5
Sector 8,19,Weekend,6,Cloudy,41,89,49.1
Sector 8,11,Weekend,5,Fog,15,76,26.7
Sector 2,10,Weekday,1,Fog,22,42,37.9
Smriti Nagar,12,Weekend,6,Rain,21,85,35.2
Smriti Nagar,7,Weekday,0,Rain,38,36,46.5
Padmanabhpur,12,Weekday,3,Rain,20,79,45.1
Sector 8,18,Weekday,1,Clear,34,91,45.2
Supela,18,Weekday,1,Clear,34,91,71.5
Kohka,5,Weekday,3,Rain,37,83,11.8
Bhilai 3,9,Weekend,5,Fog,15,76,39.1
Junwani,14,Weekday,3,Rain,31,46,43.2
Smriti Nagar,3,Weekday,1,Cloudy,23,49,3.9
Sector 4,8,Weekend,5,Cloudy,32,36,32.7
Sector 10,1,Weekday,3,Fog,31,64,3.2
Padmanabhpur,1,Weekday,3,Rain,39,85,6.0
Supela,22,Weekday,3,Clear,31,64,27.3
Kohka,21,Weekday,4,Cloudy,22,79,21.2
Civic Center,21,Weekday,2,Clear,27,64,32.5
Sector 8,1,Weekday,3,Rain,31,46,5.7
Sector 3,1,Weekday,3,Rain,20,79,6.9
Nehru Nagar,5,Weekday,3,Rain,20,79,13.7
Sector 6,19,Weekend,5,Thunderstorm,31,37,68.1
Smriti Nagar,5,Weekend,6,Cloudy,39,74,9.1
Durg Station,20,Weekday,2,Rain,40,42,71.5
Sector 2,21,Weekend,5,Cloudy,34,42,30.7
Padmanabhpur,7,Weekday,3,Rain,39,85,49.6
Durg Station,4,Weekday,2,Clear,36,47,5.8
Sector 7,6,Weekday,3,Cloudy,31,64,28.4
Junwani,10,Weekend,5,Rain,32,83,42.6
Nehru Nagar,0,Weekday,4,Rain,34,60,12.9
Sector 4,18,Weekday,0,Cloudy,20,62,51.3
Sector 6,17,Weekday,1,Rain,28,43,71.1
Kohka,16,Weekend,6,Heavy Rain,21,85,46.5
Sector 8,1,Weekday,3,Fog,20,76,3.7
Power House,19,Weekday,0,Heavy Rain,25,70,47.6
Junwani,12,Weekend,5,Rain,24,59,33.5
Supela,3,Weekend,6,Clear,33,61,3.7
Sector 6,6,Weekday,0,Cloudy,31,66,25.3
Bhilai 3,14,Weekday,0,Clear,32,74,33.0
Bhilai 3,11,Weekday,2,Thunderstorm,22,70,69.1
Supela,8,Weekend,6,Fog,19,52,48.5
Padmanabhpur,12,Weekday,1,Clear,34,91,45.8
Civic Center,10,Weekday,2,Rain,34,82,57.8
Sector 4,17,Weekday,2,Rain,42,93,51.5
Power House,0,Weekend,5,Rain,36,41,7.3
Sector 8,1,Weekday,1,Fog,22,42,4.1
Kohka,12,Weekday,1,Cloudy,23,49,31.6
Sector 10,0,Weekend,6,Cloudy,19,52,4.8
Kohka,19,Weekday,3,Clear,14,37,40.2
Sector 10,23,Weekday,1,Rain,28,43,10.4
Sector 3,5,Weekday,1,Cloudy,38,47,10.2
Sector 5,0,Weekday,3,Rain,20,79,7.9
Sector 10,1,Weekday,2,Cloudy,34,48,5.0
Sector 6,8,Weekday,4,Cloudy,35,62,59.1
Kohka,7,Weekday,1,Cloudy,38,47,36.8
Sector 5,19,Weekday,1,Rain,20,88,48.2
Sector 4,19,Weekday,4,Rain,31,82,46.5
Sector 4,8,Weekday,4,Thunderstorm,27,61,85.2
Kohka,12,Weekend,6,Clear,33,61,25.3
Nehru Nagar,11,Weekday,1,Fog,18,94,34.1
Sector 5,11,Weekday,3,Fog,20,76,27.3
Sector 6,3,Weekday,4,Clear,41,45,3.3
Sector 1,16,Weekday,1,Cloudy,21,52,55.7
Sector 8,12,Weekday,3,Cloudy,31,64,43.8
Civic Center,23,Weekend,5,Fog,15,76,14.2
Smriti Nagar,3,Weekday,1,Fog,22,42,2.8
Sector 1,11,Weekday,4,Clear,25,42,41.7
Smriti Nagar,23,Weekend,5,Cloudy,34,42,13.7
Nehru Nagar,11,Weekday,0,Fog,20,31,40.1
Smriti Nagar,19,Weekday,3,Rain,36,69,82.5
Sector 3,14,Weekday,4,Clear,27,52,28.8
Sector 3,21,Weekday,3,Rain,20,79,42.0
Civic Center,12,Weekday,1,Cloudy,23,49,49.6
Sector 6,0,Weekday,4,Rain,34,60,9.9
Sector 1,15,Weekday,0,Rain,33,85,68.3
Sector 9,6,Weekday,2,Cloudy,34,48,21.9
Sector 3,5,Weekday,4,Clear,31,48,10.0
Sector 5,14,Weekend,5,Heavy Rain,30,67,25.5
Sector 1,1,Weekday,4,Thunderstorm,27,61,10.9
Supela,15,Weekend,6,Clear,33,61,46.4
Nehru Nagar,14,Weekday,3,Thunderstorm,37,70,74.5
Sector 6,9,Weekday,4,Cloudy,25,51,47.2
Sector 10,18,Weekday,0,Rain,33,85,62.2
Padmanabhpur,19,Weekday,4,Clear,27,52,37.3
Sector 4,3,Weekday,1,Rain,28,43,3.3
Kohka,6,Weekday,1,Cloudy,35,71,18.7
Civic Center,16,Weekday,4,Clear,27,52,63.6
Sector 5,3,Weekday,3,Rain,20,79,3.4
Civic Center,0,Weekday,3,Fog,20,76,8.7
Junwani,20,Weekend,6,Fog,15,68,39.5
Sector 6,13,Weekday,1,Rain,20,88,43.2
Sector 9,19,Weekend,5,Cloudy,15,76,50.4
Durg Station,10,Weekend,5,Thunderstorm,31,37,72.6
Sector 10,14,Weekday,4,Clear,27,52,25.1
Durg Station,22,Weekday,4,Clear,41,45,31.8
Sector 7,4,Weekday,3,Rain,31,46,6.1
Sector 2,21,Weekday,4,Clear,25,42,37.0
Sector 6,20,Weekday,0,Clear,32,74,45.9
Durg Station,6,Weekday,4,Clear,41,45,32.2
Padmanabhpur,5,Weekend,6,Rain,21,85,10.8
Sector 4,5,Weekday,2,Rain,42,93,10.5
Sector 3,5,Weekday,0,Fog,20,31,6.3
Sector 4,3,Weekday,2,Rain,34,82,3.6
Sector 9,13,Weekend,5,Clear,30,67,28.2
Sector 7,6,Weekday,3,Rain,39,85,34.5
Nehru Nagar,2,Weekday,3,Clear,37,70,4.1
Sector 7,22,Weekend,5,Fog,15,76,22.3
Sector 4,22,Weekend,6,Rain,21,85,24.6
Sector 3,7,Weekday,0,Thunderstorm,40,43,67.9
Sector 9,3,Weekday,0,Cloudy,31,66,2.8
Civic Center,8,Weekday,2,Rain,42,93,86.9
Junwani,19,Weekend,6,Thunderstorm,32,36,97.6
Civic Center,4,Weekend,6,Rain,21,85,6.7
Sector 5,1,Weekday,3,Rain,37,83,5.1
Sector 5,1,Weekday,1,Rain,20,88,4.6
Sector 8,22,Weekday,1,Cloudy,32,44,19.3
Durg Station,11,Weekday,4,Clear,38,35,39.4
Sector 6,13,Weekend,5,Clear,40,88,31.3
Supela,10,Weekend,6,Fog,15,68,35.1
Sector 9,6,Weekday,0,Heavy Rain,25,70,30.3
Bhilai 3,17,Weekday,2,Clear,20,34,56.2
Sector 9,5,Weekend,6,Fog,15,68,7.9
Sector 2,16,Weekend,5,Clear,30,67,42.4
Smriti Nagar,3,Weekday,4,Rain,34,60,4.0
Sector 7,1,Weekend,6,Rain,23,84,5.2
Sector 8,3,Weekend,5,Clear,40,88,2.8
Sector 8,3,Weekend,6,Cloudy,41,89,2.5
Kohka,9,Weekday,3,Cloudy,31,64,31.2
Sector 3,23,Weekday,1,Cloudy,23,49,10.7
Sector 1,7,Weekend,5,Clear,40,88,41.6
Sector 3,4,Weekend,6,Clear,32,36,3.0
Padmanabhpur,1,Weekday,3,Rain,35,36,5.5
Sector 3,14,Weekday,1,Rain,20,88,41.0
Bhilai 3,5,Weekday,3,Rain,35,36,14.6
Sector 7,22,Weekday,1,Clear,34,91,26.3
Civic Center,7,Weekend,5,Fog,20,95,37.0
Padmanabhpur,22,Weekday,3,Rain,36,69,35.1
Sector 8,12,Weekday,4,Fog,13,63,30.1
Junwani,12,Weekday,3,Fog,35,66,31.1
Sector 6,21,Weekday,2,Clear,27,64,22.6
Durg Station,8,Weekday,0,Clear,32,74,69.5
Sector 7,4,Weekday,2,Clear,36,47,4.5
Kohka,9,Weekday,2,Rain,40,42,52.0
Sector 4,20,Weekday,2,Clear,21,66,34.9
Sector 3,9,Weekday,0,Heavy Rain,25,70,74.7
Nehru Nagar,17,Weekend,5,Rain,36,41,97.2
Sector 9,8,Weekday,1,Thunderstorm,21,52,85.9
Supela,7,Weekday,2,Clear,27,64,60.8
Sector 9,21,Weekday,2,Cloudy,36,95,28.1
Sector 5,22,Weekday,3,Fog,14,37,16.7
Supela,6,Weekday,0,Rain,41,37,38.5
Kohka,6,Weekday,0,Thunderstorm,23,45,29.0
Sector 1,21,Weekend,5,Clear,40,88,46.9
Sector 1,7,Weekday,0,Rain,33,85,66.2
Sector 3,1,Weekday,4,Clear,31,48,5.5
Civic Center,6,Weekend,6,Clear,23,87,24.2
Sector 8,14,Weekend,6,Rain,23,84,29.2
Durg Station,17,Weekday,3,Fog,14,37,44.3
Sector 2,6,Weekend,6,Heavy Rain,23,84,27.5
Civic Center,14,Weekend,6,Rain,21,85,45.4
Sector 4,22,Weekend,5,Clear,36,41,25.4
Power House,16,Weekday,2,Thunderstorm,22,70,65.0
Supela,1,Weekend,6,Rain,23,84,7.2
Padmanabhpur,1,Weekday,1,Rain,28,43,7.0
Sector 9,15,Weekday,2,Clear,36,47,27.0
